"","Subject","Pre","Post","LeaYrs","DUH","AECI","List","Trial","Time","Type"
"326","818371e0",2.77,6.11,1,0,2,"1","3",507,"MATCH"
"327","188c72a7",5,10,1,2.5,3.6666666667,"1","3",794,"MATCH"
"328","b71768d8",6.67,10,3,1,3.6666666667,"1","3",454,"MATCH"
"329","25dedb2d",7.78,10,3,0,3,"1","3",474,"MATCH"
"330","517825bd",5,7.22,3,4,3.6666666667,"1","3",727,"MATCH"
"331","f186a0a4",7.22,10,2,1.5,NA,"1","3",964,"MATCH"
"332","6503fd75",1.66,2.22,1,1,3.6666666667,"1","3",2446,"MATCH"
"333","c91a4e32",6.67,10,4,0,3.6666666667,"1","3",NA,"MATCH"
"334","98338b55",5.55,8.33,2,0,NA,"1","3",449,"MATCH"
"335","53cc0706",4.44,7.78,3,2,4.3333333333,"1","3",404,"MATCH"
"336","df1786e6",2.77,10,3,1,3.6666666667,"1","3",410,"MATCH"
"337","a3d39b25",6.67,8.89,1,1,3.6666666667,"1","3",500,"MATCH"
"338","41260fef",3.89,9.44,3,1,5,"1","3",1304,"MATCH"
"339","15875402",5,10,3,0,3,"1","3",743,"MATCH"
"340","9f51aeec",9.44,10,2,0.25,2.3333333333,"1","3",1338,"MATCH"
"341","03a054f0",10,10,3,0,3,"1","3",2033,"MATCH"
"342","93338205",3.33,7.78,3,0.5,2.6666666667,"1","3",413,"MATCH"
"343","6a5e2cdb",6.667,10,2,1,3.6666666667,"1","3",1335,"MATCH"
"344","0549b570",4.44,9.44,3,0,3,"1","3",NA,"MATCH"
